zinc_id,smiles,mw,logp,hbd,hba,rotatable_bonds,lipinski,chemistry_flagged,pains_alert,reactive_flags,hotspot_weighted_pct,hotspot_bits_matched,hotspot_exact_matches,hotspot_compatible_matches,hotspot_exact_residue_count,hotspot_group_count,hotspot_required_groups_pass,native_supported_hotspot_bits_matched,native_supported_hotspot_exact_matches,native_supported_hotspot_exact_residue_count,native_supported_hotspot_weighted_pct,pair_hash_overlap_pct,pair_hash_recall_pct,pair_hash_precision_pct,cascade_score_pct,shortlist_rank
CHEMBL410135,CC(C)(N)C(=O)N[C@H](COCc1ccccc1)c1nnnn1CCNC(=O)CCc1cccc(O)c1,495.5840000000003,1.2390999999999996,4,9,13,1,0,,,33.18093759173754,11,4,7,4,2,1,0,0,0,0.0,29.403559474826757,23.41633162881136,39.50424005218526,30.347904004054456,1
ZINCk50000047sNG,O=C(NCCCc1nc(O)n[nH]1)c1n[nH]cc1[N+](=O)[O-],281.2320000000001,-0.4958000000000007,4,7,6,1,0,,,41.19084267040562,12,7,5,7,2,1,0,0,0,0.0,24.713792150010725,17.070783349818182,44.74903269319512,28.833054780109453,2
CHEMBL270666,CC(C)(N)C(=O)N[C@H](COCc1ccccc1)c1nnnn1[C@H](CC#N)COc1ccccc1O,479.5410000000002,2.0238799999999997,3,10,12,1,0,,,34.1174432062358,11,5,6,5,2,1,0,0,0,0.0,26.996639165560616,21.6643648097019,35.81078865387769,28.77684017572941,3
CHEMBL4171914,Cn1ccc2c(F)c(C(=O)N[C@H]3Cc4ccccc4[C@@H]3NC(=O)c3cnccc3N)ccc21,443.4820000000002,3.120400000000001,3,5,4,1,0,,,34.89823407860856,11,5,6,5,2,1,0,0,0,0.0,25.6007099376565,18.97155880303825,39.35094246031745,27.925090972894516,4
ZINCk600000cLi01,NOCCNC(=O)Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],284.228,0.05200000000000071,2,7,7,1,0,,,41.43257879686414,11,8,3,8,3,1,0,0,0,0.0,22.022937842887842,14.566582924327543,45.11795543905635,26.87534808138191,5
CHEMBL4164040,Nc1ccncc1C(=O)N[C@H]1c2ccccc2C[C@@H]1NC(=O)c1cc2c(F)cc(F)cc2[nH]1,447.4450000000001,3.249100000000001,4,4,4,1,0,,,33.69533478231311,11,4,7,4,2,1,0,0,0,0.0,24.45171962062359,18.23570874839218,37.0969754808398,26.762623411045972,6
CHEMBL259166,CC(C)(N)C(=O)N[C@H](COCc1ccccc1)c1nnnn1CCCC(=O)NCCSCCO,493.63400000000036,0.40640000000000015,4,10,16,1,0,,,29.07337943761589,10,3,7,3,2,1,0,0,0,0.0,25.96539846135383,21.10013945912662,33.74669312169311,26.742393705419342,7
ZINCk6000004dm5O,Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1NC[C@@H](O)C(N)=O,284.228,0.0695199999999998,3,7,6,1,0,,,41.894685904351626,11,8,3,8,2,1,0,0,0,0.0,21.394667413395222,14.130914562329538,44.02491597252667,26.519672036134324,8
CHEMBL4637284,Cc1ccc2[nH]c(C(=O)N[C@H]3CN(S(=O)(=O)c4cnccn4)C[C@@H]3C(=O)NCCN(C)C)cc2c1,499.59700000000026,0.36322000000000054,3,7,8,1,0,,,33.23974676957568,11,5,6,5,3,1,0,0,0,0.0,24.122824916488224,19.802462072982312,30.854428616015678,26.402055379760085,9
ZINCj600000JU75f,Nc1nonc1C(=NO)Sc1cnc(C(=O)O)cn1,282.241,0.0680999999999996,3,10,3,1,0,,,30.00988505211415,10,4,6,4,2,1,0,0,0,0.0,24.439238578787,16.273041159501105,49.057407302254276,25.831900197118784,10
CHEMBL382844,CC(C)(N)C(=O)N[C@H](COCc1ccccc1)C(=O)N1CCC2=NNC(=O)[C@@]2(Cc2ccccc2)C1,491.5920000000003,1.3725000000000025,3,6,9,1,0,,,30.00988505211415,10,4,6,4,2,1,0,0,0,0.0,23.856542441547372,18.191363363124307,34.646067970756775,25.394878094189067,11
CHEMBL271876,CC(C)(N)C(=O)N[C@H](COCc1ccccc1)c1nnnn1[C@H](CC#N)COc1ccccn1,464.5300000000002,1.713279999999999,2,10,12,1,0,,,31.704392034230118,10,5,5,5,2,1,0,0,0,0.0,22.287992319142177,16.85783542234807,32.87870809197822,24.64209224791416,12
ZINCk50000048fa4,O=C1C[C@@H](C[C@H](O)Cn2nc([N+](=O)[O-])cc2[N+](=O)[O-])N1,285.216,-0.6610000000000003,2,8,6,1,0,,,41.43257879686414,11,8,3,8,3,1,0,0,0,0.0,18.88507812455024,12.813338190030876,35.8936981385961,24.521953292628716,13
CHEMBL130229,CCOC(=O)[C@@H](CCc1ccccc1)NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)C(C)(C)N,478.5930000000003,2.6132,4,5,11,1,0,,,29.626577682298024,10,3,7,3,2,1,0,0,0,0.0,22.31905831146995,16.644400137584338,33.864728856842426,24.145938154176967,14
CHEMBL4645148,Cc1ccc2[nH]c(C(=O)N[C@H]3CN(S(=O)(=O)c4cccnc4)C[C@@H]3C(=O)NCCN(C)C)cc2c1,498.60900000000026,0.968220000000001,3,6,8,1,0,,,30.00988505211415,10,4,6,4,2,1,0,0,0,0.0,22.062441861080387,17.237909371553304,30.637140637140636,24.04930265883883,15
ZINCk600000gqEx4,O=C(N[C@@H]1C[C@H]1NC(=O)c1n[nH]cc1Cl)c1cnc[nH]1,294.702,0.08689999999999987,4,4,4,1,0,,,29.07337943761589,10,3,7,3,2,1,0,0,0,0.0,22.16527708009155,15.471553018480177,39.06789038599233,23.892302669472638,16
ZINCk700000PCx9I,O=[N+]([O-])c1ccc(S(=O)(=O)Nc2cnn(CCO)c2)o1,302.26800000000003,0.1774,2,8,6,1,0,,,35.147413232312545,10,6,4,6,2,1,0,0,0,0.0,20.138689731095464,12.863743483764045,46.35325416910001,23.890870606399734,17
ZINCk8000004j8mL,C[C@@](O)(CNc1cc(N)c([N+](=O)[O-])c(C#N)c1)C(=O)O,280.24,0.29617999999999994,4,7,5,1,0,,,33.75985428051273,10,5,5,5,2,1,0,0,0,0.0,19.495379159153693,12.336729587939988,46.4475674620602,23.061497939493453,18
CHEMBL2364485,COc1ccc(N2C[C@@H](C)N[C@@H](C)C2)cc1NS(=O)(=O)c1ccc(-c2ccc(C)o2)cn1,456.5680000000002,3.646020000000002,2,7,6,1,1,anil_di_alk_C(246),,31.704392034230118,10,5,5,5,2,1,0,0,0,0.0,20.085095244493207,15.16360221909679,29.736296407335228,22.989919441927437,19
